Source,Text,Class
kubernetes,https://kubernetes.io/docs/concepts/services-networking/service/,URL
kubernetes,kubectl get pods --all-namespaces -a,Code
kubernetes,does kubectl delete pod busybox work?,NL
kubernetes,busybox 0/1 Error 0 9m,Other
kubernetes,inside as a service?,NL
kubernetes,nice! thank you for the link!,NL
kubernetes,@kdockery thanks!,NL
kubernetes,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)",NL
kubernetes,adapt the script,NL
kubernetes,The answers is depends which overlay you're using,NL
kubernetes,Check out kubectl drain,NL
kubernetes,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?,NL
kubernetes,Do you have a guide? Upgrade kubernetes 1.5 to 1.6,NL
kubernetes,# kubectl get nodes | wc -l,Code
kubernetes,@U7FCJNU58 Are you certain you are targeting the right port? (5000),NL
kubernetes,okay strangely that worked,NL
kubernetes,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.,NL
kubernetes,Max replicas: 15,NL
kubernetes,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN",Mixed
kubernetes,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown",Other
kubernetes,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin.",NL
kubernetes,Kubernetes,NL
kubernetes,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4,Other
kubernetes,name: my-app,Code
kubernetes,"with service is impossible ? because when I use node ip, load balance not work, for example",NL
kubernetes,what is -l for?,NL
kubernetes,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?",NL
kubernetes,so it must use encapsulation then?,NL
kubernetes,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?",NL
kubernetes,not so hard though,NL
kubernetes,@U7MP7D5EV Can you provide the full output of the describe command?,NL
kubernetes,it's set to 1.1,NL
kubernetes,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks",NL
kubernetes,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists",Mixed
kubernetes,ok you are exposing nginx to port 80 in the worker node IP address,NL
kubernetes,ingress.kubernetes.io/ssl-passthrough: true,Code
kubernetes,I have the following deployment:,NL
kubernetes,as flag in,NL
kubernetes,ha,NL
kubernetes,"Its ok, thank you for consideration, glad i could help",NL
kubernetes,namespace: default,Code
kubernetes,namespace: app,Code
kubernetes,"At that point, you'd have to use the external IP/hostname for the desired cluster/service.",NL
kubernetes,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]",Mixed
kubernetes,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?",Mixed
kubernetes,sorry,NL
kubernetes,you've created a definition for where the traffic should go but nothing is being done with that traffic,NL
kubernetes,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?",Mixed
kubernetes,You can just put both hosts in,NL
kubernetes,In your kube config file try to base64 decode certificate-authoririty,NL
kubernetes,What's up guys. You know how when you do kubectl get pods you get something that looks like:,NL
kubernetes,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all,NL
kubernetes,ya. I am using preemtible vms on gc and need to monitor node level,NL
kubernetes,think I have to try it first,NL
kubernetes,I should add it in the manifest?,NL
kubernetes,how I can do that,NL
kubernetes,"the count, if at all",NL
kubernetes,Have you tried rook?,NL
kubernetes,not hard,NL
kubernetes,"kdockery, https://bpaste.net/show/5ee3626fbba7 here's what I have! The Endpoint still points to 10.254.0.1, which is the svc/kubernetes (I pasted the description of that one as well)",Mixed
kubernetes,Interesting.,NL
kubernetes,My config file has been updated to my namespace,NL
kubernetes,resources:,NL
kubernetes,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!",NL
kubernetes,~~~ spec: containers: - image: gcr.io/my-project/my-app:latest name: my-app securityContext: privileged: true capabilities: add: - SYS_ADMIN lifecycle: postStart: exec: command: - sh - -c - > su www-root,Other
kubernetes,"I see, what makes your dev env so big? is it the amount of services/deployments/pods/containers or data or?",NL
kubernetes,"don't wake me up at 2AM if, by the time I log in, everything has recovered.",NL
kubernetes,storage: 20Gi,NL
kubernetes,and have the contents of foo as a file from the config maap in a pod ?,NL
kubernetes,ERROR: logging before flag.Parse: W1026 21:48:02.659312 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused,Error
kubernetes,nginx,NL
kubernetes,@U7N4JEF9U change it to 'cgroupfs' as docker is using that driver,NL
kubernetes,"not sure I can tell you how to debug the binary kube-proxy, but I've seen those responses while the containers in the relevant Pod are still starting up. Double check the state of the pod with kubectl get pods or kubectl describe pod <podname> to make sure the containers are fully operational and in the state Running. Until they're set up, this error could occur simply because kube-proxy can't make the connection over the internal Pod network in your cluster.",Mixed
kubernetes,google it!,
kubernetes,"okay, will do",NL
kubernetes,docker inspect,Code
kubernetes,I have 3 masters and all of them have effect: NoSchedule,NL
kubernetes,interesting. I didn't know GKE utilized an ingress controller.,NL
kubernetes,(I don't have an answer to your question fwiw),NL
kubernetes,@kdockery Should that work with a curl request?,NL
kubernetes,- host: labels.foo.eu,Code
kubernetes,https://gist.github.com/mikejk8s/97322f4314fe4f89d62fb4f79fffa1aa,URL
kubernetes,"error: error validating nginxbuyflow-servicenewnodeport.yml: error validating data: field spec.ports[0].port for v1.ServicePort is required; if you choose to ignore these errors, turn validation off with --validate=false",Mixed
kubernetes,"ah crud. Thank you, apologies.",NL
kubernetes,@mario for namespaces I just use -n <namespace> in my commands,Mixed
kubernetes,user: client-certificate-data: <base64-encoded-cert> client-key-data: <base64-encoded-key>,Other
kubernetes,you're welcome,NL
kubernetes,kubectl version --short,Code
kubernetes,are you mounting that volume the same way as the emptyDir?,NL
kubernetes,readinessProbe:,NL
kubernetes,"We've just added a node to our cluster. We've now got 1 Master 2 nodes, (I'm still trying to get around to HA......Asking for additional resources is like trying to bleed a rock.) Master and Node 1 have 2TB RAID 10 Disks, and 32GB Ram. Node 2, which I just added this week has 2TB RAID 10 Disks and 64GB ram.",NL
kubernetes,"@U7P7RBJEA hmm that should do the trick$ kubectl get svc --namespace kube-system | grep traefik traefik-ingress-service NodePort 10.233.54.87 <none> 80:32077/TCP,8080:30175/TCP 29d traefik-web-ui ClusterIP 10.233.52.169 <none> 80/TCP 29d $ curl -L 10.233.52.169:80 <!doctype html> <html ng-app=traefik>",Mixed
kubernetes,Oct 26 16:42:20 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.999680 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54068: remote error: tls: bad certificate,Error
kubernetes,@masteinhauser You want -> @liggitt,NL
kubernetes,@danb https://kubernetes.io/docs/concepts/configuration/assign-pod-node/ may help,Mixed
kubernetes,kris-mbp:virtualbox-cluster kris$ cat pv-test.yaml,Code
kubernetes,"/usr/sbin/nginx,-s,quit",Code
kubernetes,"thx a lot folks, it workedI read thro the docs and they had mentioned that entrypoint is equivalent to command in kubernetes and since docker run -it --entrypoint /bin/bash worked, I assumes it was correct",Mixed
kubernetes,What is the kube-test-image running?,NL
kubernetes,gcloud container clusters get-credentials $CLUSTER_NAME_STG,Code
kubernetes,"@U7L73A2RE FYI, I just checked the docs on what you stated and it sounds like that shouldn't be allowed, but it definitely seems like it could be based around the ClusterRole scope versus a RoleBinding scope",NL
kubernetes,Can I instruct deployment to deploy pods on all nodes matching label=X rather than specifying replication factor?,NL
kubernetes,@3molo Hi Mate How I can do that?,NL
kubernetes,The most filled disk is 83%. still 20G free,NL
kubernetes,root 560 0.0 0.2 34424 2796 ? R+ 16:59 0:00 ps aux,Other
kubernetes,@carldanley its a bug in the doc. should be /nginx-ingress-controller --version,Mixed
