ID,Jianwen,Maelick,Jianwen Mixed,Maelick Mixed,notes,Disagreement,Text
1,URL,URL,,,,FALSE,https://kubernetes.io/docs/concepts/services-networking/service/
2,Code,Command,,,,TRUE,kubectl get pods --all-namespaces -a
3,NL,Mixed,,Id,,TRUE,does kubectl delete pod busybox work?
4,Other,,,,,TRUE,busybox 0/1 Error 0 9m
5,NL,NL,,,,FALSE,inside as a service?
6,NL,NL,,,,FALSE,nice! thank you for the link!
7,NL,NL,,,,FALSE,@kdockery thanks!
8,NL,NL,,,,FALSE,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)"
9,NL,NL,,,,FALSE,adapt the script
10,NL,NL,,,,FALSE,The answers is depends which overlay you're using
11,NL,NL,,,,FALSE,Check out kubectl drain
12,NL,NL,,,,FALSE,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?
13,NL,Mixed,,Version,,TRUE,Do you have a guide? Upgrade kubernetes 1.5 to 1.6
14,Code,Command,,,,TRUE,# kubectl get nodes | wc -l
15,NL,NL,,,,FALSE,@U7FCJNU58 Are you certain you are targeting the right port? (5000)
16,NL,NL,,,,FALSE,okay strangely that worked
17,NL,NL,,,,FALSE,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.
18,NL,NL,,,,FALSE,Max replicas: 15
19,Mixed,Mixed,,Id,,FALSE,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN"
20,Other,,,,Log?,TRUE,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown"
21,NL,NL,,,,FALSE,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin."
22,NL,NL,,,,FALSE,Kubernetes
23,Other,,,,,TRUE,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4
24,Code,,,,,TRUE,name: my-app
25,NL,NL,,,,FALSE,"with service is impossible ? because when I use node ip, load balance not work, for example"
26,NL,Mixed,,Command,,TRUE,what is -l for?
