Source,Text,Class
lucene,That would make ant a requirement for solr user,NL
lucene,at org.tmatesoft.svn.core.wc.SVNUpdateClient.update(SVNUpdateClient.java:449),Trace
lucene,On un-optimized inde,NL
lucene,When calling the search URL with no query or an empty query (i.e.  http://localhost:8080/solr/select/ or http://localhost:8080/solr/select/?q=,Mixed
lucene,val = null;,Code
lucene,private void refineFacets(ResponseBuilder r,Code
lucene,I was thinking of Tomcat at first since some people will start with,NL
lucene,cross-referenced with the java.util.concurrent package. Just amazing.,Mixed
lucene,Key: SOLR-1120,Code
lucene,<directoryProvider class=\class.name\>,Code
lucene,at org.apache.solr.servlet.SolrUpdateServlet.doPost(SolrUpdateServlet.java:58),Trace
lucene,URL: https://issues.apache.org/jira/browse/SOLR-136,Mixed
lucene,Otis Gospodnetic commented on SOLR-215:,NL
lucene,List<String> categories,Code
lucene,-rsyncStart=`date`,Code
lucene,Per-segment single-valued string faceting using the Lucene FieldCache.,NL
lucene,I need your comments on this although it might be hard without TestUnit.,NL
lucene,Here is a patch to avoid the exception and use the default sort order if you only specify a field.  I'm not sure the 'null' case was even possible in the current code:,NL
lucene,[junit] Running org.apache.solr.client.solrj.embedded.SolrExampleEmbeddedTest,Trace
lucene,@Hoss,NL
lucene,convert them to document,NL
lucene,applied with:  /usr/local/bin/patch -u -p 0 < ~/solr-350_409.patch,Mixed
lucene,A import org.apache.solr.common.params.MapSolrParams;,Code
lucene,DirectUpdateHandler2 threading issue,Mixed
lucene,yoavs@computer.org / www.yoavshapira.com,Mixed
lucene,$svn/java/trunk/core (i'm pretty sure existing checkouts will,Mixed
lucene,I've had the idea of a \quiet\ commit in the back of my mind for a,NL
lucene,solr.war,Code
lucene,check,NL
lucene,https://issues.apache.org/jira/browse/SOLR-139,URL
lucene,svn co https://svn.apache.org/repos/asf/lucene/java/trunk@724059 lucene-r724059,Code
lucene,What should be done?,NL
lucene,your instincts were appropraite -- blindly adding to svn:ignore is an easy,Mixed
lucene,public void ensureCapacityWords(int numWords) {,Code
lucene,After thinking over your comment,NL
lucene,// 1/4 second seems fast enough for anyone using maxDocs,NL
lucene,+1,NL
lucene,[ https://issues.apache.org/jira/browse/SOLR-773?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=12759415#action_12759415 ],URL
lucene,tier,NL
lucene,983__solr\\webapp\\WEB-INF\\lib\\xpp3-1.1.3.4.O.jar,File
lucene,SolrConfig inherits from Config which has been modified; Config is now more strictly a dom document (filled from some resource) and methods to evaluate xpath expressions. Config also continues to be the classloader singleton that allows to easily instantiate classes located in the Solr installation directory.,NL
lucene,file per instance,NL
lucene,Upgrade bundled Jetty with latest from vendor,NL
lucene,mkdir /tmp/apache-solr-nightly/contrib/javascript/dist/doc,Code
lucene,at java.net.PlainSocketImpl.bind(PlainSocketImpl.java:359),Trace
lucene,Currectl,Code
lucene,How about switching documentCache off?,NL
lucene,A - Rich document processing (Wor,NL
lucene,- > > > > > > > > <field column=\full_name\ xpat0Aand can be used as a !DataSource. It must be3A//abc.com/a.txt\ dataSource=\data-source-name\>,Mixed
lucene,{code:title=solrconfig.xml},Code
lucene,A [junit] Running org.apache.solr.request.JSONWriterTest,Trace
lucene,That may be the way to g,NL
lucene,<field name=\foo\>lat lon</field>,Code
lucene,Add Query Spellchecker functionality,NL
lucene,Spatial feature set for distance searching (restricted by distance) &,NL
lucene,http://master_host:port/solr/replication?command=backup<,URL
lucene,anytime lucene jars are upgrade,NL
lucene,the SolrCoreAware impl-s again so that the impl-s can assign the new,Mixed
lucene,Just need to synch the distibution with the maven repositories,NL
lucene,lucene in some structure (see other thread),NL
lucene,Changed the input validation to only do basic input validation. We now only check if the thing looks like an UUID.,NL
lucene,You're a mind reader ;-),NL
lucene,long b=A[i+4,Code
lucene,[junit] Test org.apache.solr.TestDistributedSearch FAILED,Log
lucene,This changes AddUpdateCommand to want 'update' and depricates the other flags,NL
lucene,Lately I been seeing the following in my solrconfig.xml,Mixed
lucene,Here I submit a patch that allows for such subclassing. The change that is done to the code base in the following steps:,NL
lucene,// generated from pop_array via sed 's/A\\[\\([^]]*\\)\\]/\\(A[\\1] \\& B[\\1]\\)/g',Mixed
lucene,Attachments: SOLR-193-SolrDocument.patc,Mixed
lucene,you probably need to get your user-id approved.,NL
lucene,download external JARs (we replaced all the LGPL code and persuaded,NL
lucene,at org.apache.solr.handler.dataimport.DocBuilder.deleteAll(DocBuilder.java:275),Trace
lucene,what???,NL
lucene,Are you suggesting dropping SolrCoreAware and replace it with IndexSchemaAware ?,NL
lucene,: Maybe it belongs in solrconfig.xml as an option on the standard,Mixed
