Source,Text,Class
mozilla,1.0.6 but preferable the newer Deer Park Alpha builds.,NL
mozilla,I produced something along the lines of a test case for this at,NL
mozilla,"attribute minimization. XML dictates selected=""selected"".",Mixed
mozilla,User Agent: Mozilla/5.0 (Mobile; rv:33.0) Gecko/33.0 Firefox/33.0,Other
mozilla,"<option value=""manage_addProduct/KnowledgeKit/HOWTO_factory"">HOW-TO</option>",Code
mozilla,"Error: uncaught exception: [Exception... ""'[JavaScript Error: ""aTabs[ex - 1] is undefined"" {file: ""file:///home/tim/workspace/mozilla-central/objdir-ff-release/dist/bin/components/nsSessionStore.js"" line: 2459}]' when calling method: [nsISessionStore::undoCloseTab]""  nsresult: ""0x80570021 (NS_ERROR_XPC_JAVASCRIPT_ERROR_WITH_DETAILS)""  location: ""JS frame :: chrome://browser/content/browser.js :: undoCloseTab :: line 11989""  data: yes]",Error
mozilla,and there's no plug-in to handle it the value should fallback to some default,NL
mozilla,bryner:,NL
mozilla,from it out instead,NL
mozilla,"topcrash+, zt4newcrash, dataloss.",Other
mozilla,"I was trying to match the prototype of the existing HTMLCanvasElement::ExtractData method as closely as possible, but I can change this if you'd like. I'd have to change the callers a bit, but this wouldn't be a problem.",Mixed
mozilla,"Plenty of free memory and swap, no processor problems.",NL
mozilla,"display on top of each other"".",NL
mozilla,"Reporter, do you still see this problem with the latest Firefox 2? If not, can you please close this bug as WORKSFORME. Thanks!",NL
mozilla,#2  0x4018a1be in PR_WaitCondVar (),Other
mozilla,Most dictionary consumers expect that extra properties would be ignored as WebIDL currently spec'ed. The semantic of MediaStreamOptions contradicts their expectations.,NL
mozilla,forgot to add mlk to kwords,NL
mozilla,1) Verified in mfcEmbed.  nsIWebBrowserChrome::CreateBrowserWindow() is no,Mixed
mozilla,"or invalid entity), it is very difficult to track down the problem",NL
mozilla,"EAX(tm) 2.0 Listen/Src: No, No",Other
mozilla,"(It has problems with high CPU usage on display of Speedread page, but that's for their developers to tackle)",NL
mozilla,"Hi Patrick,",NL
mozilla,Steps to reproduce:,NL
mozilla,-----------------------------------------------------------------,Other
mozilla,The style is correct and I'm not an X-head. Reassigned to pollmann.,NL
mozilla,r+ if event name is changed and unit test for nfcmanager part,NL
mozilla,"with this, allowing the user to select the unit to be prefixed can result in a",NL
mozilla,nsTableOuterFrame::Reflow(),Code
mozilla,at Server.EventEmitter.emit (events.js:92:17),Trace
mozilla,"Fwiw, I tested dbaron's patch with various themes on Linux and I couldn't",NL
mozilla,09:47:58     INFO -      rax = 0x0000000000000000   rdx = 0x0000000000000000,Log
mozilla,"^ we could do something stupid here, in which case we'll later violate xpcom",NL
mozilla,"You'll need to update Thunderbird or file a bug and notify them of the change as well, of course.",NL
mozilla,"Typing in wikipedia, placing the cursor in the main editing textbox causes typing to appear in the edit summary textbox, and vice=versa",NL
mozilla,Safe Mode: false,NL
mozilla,Is you point your nightly build (my case: 2000100308) to that page there is some,NL
mozilla,Gecko Version          45.0a1,Version
mozilla,"},",Code
mozilla,"tree at the start of nsCSSFrameConstructor::ContentRemoved(), the child",Mixed
mozilla,"Ulrich, if this isn't in your current code, I can probably make a tip build available for you more or less soonish. Let me know.",NL
mozilla,https://hg.mozilla.org/integration/b2g-inbound/rev/cf4a85de7c0e,URL
mozilla,"about, esp. if you are always talking about Compose window or the display of the",NL
mozilla,"/cvsroot/mozilla/xpcom/base/Makefile.in,v  <--  Makefile.in",Other
mozilla,"Now, high resolution scrolling was disabled by bug 657865 due to many regressions. This bug tracks the regressions which must be fixed before re-enabling it.",NL
mozilla,45 	libobjc.A.dylib 	libobjc.A.dylib@0x70ae,Other
mozilla,21:38:25     INFO -  4189 INFO TEST-PASS | dom/tests/mochitest/general/test_performance_timeline.html | The number of PerformanceMeasure entries should be 1.,Log
mozilla,"On OS X (10.1.5+), tabbing in forms behaved exactly as expected - and as in IE -",NL
mozilla,"- After this do-while loop, replace the ""return true"" with:",Mixed
mozilla,We already have a newer version in the tree,NL
mozilla,No code change so marking WFM,NL
mozilla,Either that or Chrome maybe had to find some long drawn out work-around...,NL
mozilla,Actual:,NL
mozilla,TODO for me:,NL
mozilla,User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999,Other
mozilla,"Otherwise jsbugmon will report that this bug is unreproducible, as per comment 4 of this bug, assuming that the bug still exists and reproduces manually.",NL
mozilla,1.Hide the window (apple-h),NL
mozilla,2. use FireFox regularly,NL
mozilla,2. kill the clock application,NL
mozilla,*,Code
mozilla,Also had X11Amp loaded.,NL
mozilla,"This is already fixed on trunk somehow, at least with current steps to reproduce.",NL
mozilla,"Hey, I'm interested in this bug if no one else is working on it.",NL
mozilla,no splash appears .,NL
mozilla,#14 0x2b0339e2 in nsAppShellService::Run (this=0x8101300),Other
mozilla,Gaia: ae3a84acaab80a5b35d5542d63e68462273c8a1b,Other
mozilla,2. Middle click in a Firefox browser area,NL
mozilla,"@@ +112,4 @@",Other
mozilla,+          lastCharArabic = IS_ARABIC_CHAR(ch);,Code
mozilla,"nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *",Code
mozilla,But in Internet Explorer:,NL
mozilla,"2. Use a video sharing site, and go to full screen",NL
mozilla,Steps to reproduce:,NL
mozilla,Risk to taking this patch (and alternatives if risky): Low,NL
mozilla,No void.,NL
mozilla,"Julien, can you reproduce this problem in Mozilla's Firefox 41? Or does this problem only affect Cyberfox?",NL
mozilla,---------------------------,Other
mozilla,User Agent: Mozilla/5.0 (Mobile; rv:32.0) Gecko/32.0 Firefox/32.0,Other
mozilla,AAC audio,NL
mozilla,2. Hold yellow OFF key (located next to the SIM card slot) for 5 to 10 seconds until the device buzzes,NL
mozilla,"and hold them out in front of you.  See, now it's fine.""",NL
mozilla,Thanks!!,NL
mozilla,USER32! 77e1395f(),Other
mozilla,the customize page supplied for a sidebar tab.,NL
mozilla,"activity monitor running continuously.  If I reload, it may stop, or it may",NL
mozilla,"Step 2 above should be ""Change options to set tabs on right side of screen.""",NL
mozilla,Done as requested.  Output of NS_FONT_DEBUG=C ./mozilla http://www.mozilla.org/,Mixed
mozilla,*** This bug has been marked as a duplicate of 283478 ***,NL
mozilla,"If we wait a second to tap the ok button, it works fine. It needs to tap quickly to reproduce this bug.",NL
mozilla,Direction DominantDirection(gfxPoint aPoint) { ... },Code
mozilla,[Steps] 1. Run all PTS test cases,NL
mozilla,didn't mark it before (just looked over what I think are the new parts),NL
mozilla,(This had the wrong bug number in the commit message.),NL
mozilla,54d57bd38f51	Matthew Noorenberghe � Bug 1007979 - Refactor nsSearchSuggestions into a reusable JSM. r=adw Original JSM by mconnor.,Mixed
mozilla,[New LWP 2],Other
mozilla,This is not pleasing for her.,NL
mozilla,"2042   // Now, be sure to keep |this| alive, and the dialog",NL
mozilla,"@@ +191,5 @@",Other
mozilla,"I'm here, but I'm afraid I don't have much to report. May be it doesn't happen with the new UI? I've seen the ""couple of minutes before painting even the initial Chrome"" problem a couple of times after that, but there's no consistent way to reproduce that. It just happens randomly, and when I try to do that again, it doesn't. I'm not sure what can be done here to this bug. These days when it becomes slow I just go and delete those Local cache folders.",NL
mozilla,"/build_stage/communications/dialer/index.html: L10nError: Duplicate string ""edit"" found in app://communications.gaiamobile.org",Error
mozilla,"Your right, the plain html page is rendered correctly.",NL
mozilla,Tools | Message Filters,NL
mozilla,return JS_FALSE;,Code
mozilla,Reproducible: Always,NL
mozilla,"3.1. The notification panel should probably explicitly specify that the label (class: ""popup-notification-description"") is the description for the panel (using aria-describedby?). This isn't essential, as screen readers generally use algorithms to work this out, but it's more correct.",NL
mozilla,A try run with the mochitest,NL
mozilla,"This is the thumbnail optimization I told you about. Previously my metadata code was creating a thumbnail for every song, even when a bunch of songs were part of the same album and shared the same thumbnail.",NL
mozilla,hfdxhfdhdfh,Other
