Source,Text,Class
kubernetes,https://kubernetes.io/docs/concepts/services-networking/service/,CODE
kubernetes,kubectl get pods --all-namespaces -a,CODE
kubernetes,does kubectl delete pod busybox work?,NL
kubernetes,busybox 0/1 Error 0 9m,CODE
kubernetes,inside as a service?,NL
kubernetes,nice! thank you for the link!,NL
kubernetes,@kdockery thanks!,NL
kubernetes,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)",NL
kubernetes,adapt the script,NL
kubernetes,The answers is depends which overlay you're using,NL
kubernetes,Check out kubectl drain,NL
kubernetes,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?,NL
kubernetes,Do you have a guide? Upgrade kubernetes 1.5 to 1.6,NL
kubernetes,# kubectl get nodes | wc -l,CODE
kubernetes,@U7FCJNU58 Are you certain you are targeting the right port? (5000),NL
kubernetes,okay strangely that worked,NL
kubernetes,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.,NL
kubernetes,Max replicas: 15,CODE
kubernetes,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN",NL_CODE
kubernetes,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown",TRACE
kubernetes,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin.",NL
kubernetes,Kubernetes,NL
kubernetes,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4,NL_CODE
kubernetes,name: my-app,CODE
kubernetes,"with service is impossible ? because when I use node ip, load balance not work, for example",NL
kubernetes,what is -l for?,NL_CODE
kubernetes,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?",NL
kubernetes,so it must use encapsulation then?,NL
kubernetes,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?",NL
kubernetes,not so hard though,NL
kubernetes,@U7MP7D5EV Can you provide the full output of the describe command?,NL
kubernetes,it's set to 1.1,NL
kubernetes,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks",NL
kubernetes,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists",NL_TRACE
kubernetes,ok you are exposing nginx to port 80 in the worker node IP address,NL
kubernetes,ingress.kubernetes.io/ssl-passthrough: true,CODE
kubernetes,I have the following deployment:,NL
kubernetes,as flag in,NL
kubernetes,ha,NL
kubernetes,"Its ok, thank you for consideration, glad i could help",NL
kubernetes,namespace: default,CODE
kubernetes,namespace: app,CODE
kubernetes,"At that point, you'd have to use the external IP/hostname for the desired cluster/service.",NL
kubernetes,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]",TRACE
kubernetes,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?",NL_CODE
kubernetes,sorry,NL
kubernetes,you've created a definition for where the traffic should go but nothing is being done with that traffic,NL
